session,invocation,runtime,model,cold_start_ms,warm_exec_ms,memory_peak_bytes
0,0,docker,2,204.276025,0.413845,5447680
0,1,docker,2,204.276025,0.243052,5447680
0,2,docker,2,204.276025,0.280075,5447680
0,3,docker,2,204.276025,0.319262,5447680
0,4,docker,2,204.276025,0.238846,5447680
0,5,docker,2,204.276025,0.193757,5447680
0,6,docker,2,204.276025,0.172799,5447680
0,7,docker,2,204.276025,0.182377,5447680
0,8,docker,2,204.276025,0.202976,5447680
0,9,docker,2,204.276025,0.216539,5447680
0,10,docker,2,204.276025,0.197052,5447680
0,11,docker,2,204.276025,0.192267,5447680
0,12,docker,2,204.276025,0.200244,5447680
0,13,docker,2,204.276025,0.296015,5447680
0,14,docker,2,204.276025,0.207061,5447680
0,15,docker,2,204.276025,0.20635,5447680
0,16,docker,2,204.276025,0.232023,5447680
0,17,docker,2,204.276025,0.198358,5447680
0,18,docker,2,204.276025,0.244993,5447680
0,19,docker,2,204.276025,0.198095,5447680
0,20,docker,2,204.276025,0.209704,5447680
0,21,docker,2,204.276025,0.195224,5447680
0,22,docker,2,204.276025,0.178766,5447680
0,23,docker,2,204.276025,0.182525,5447680
0,24,docker,2,204.276025,0.177108,5447680
0,25,docker,2,204.276025,0.163069,5447680
0,26,docker,2,204.276025,0.180767,5447680
0,27,docker,2,204.276025,0.199135,5447680
0,28,docker,2,204.276025,0.194802,5447680
0,29,docker,2,204.276025,0.170909,5447680
1,0,docker,2,203.416799,0.302422,5566464
1,1,docker,2,203.416799,0.392585,5566464
1,2,docker,2,203.416799,0.210501,5566464
1,3,docker,2,203.416799,0.277445,5566464
1,4,docker,2,203.416799,0.365393,5566464
1,5,docker,2,203.416799,0.200528,5566464
1,6,docker,2,203.416799,0.224415,5566464
1,7,docker,2,203.416799,0.280511,5566464
1,8,docker,2,203.416799,0.365069,5566464
1,9,docker,2,203.416799,0.244229,5566464
1,10,docker,2,203.416799,0.349988,5566464
1,11,docker,2,203.416799,0.390701,5566464
1,12,docker,2,203.416799,0.286361,5566464
1,13,docker,2,203.416799,0.230088,5566464
1,14,docker,2,203.416799,0.185332,5566464
1,15,docker,2,203.416799,0.367888,5566464
1,16,docker,2,203.416799,0.320534,5566464
1,17,docker,2,203.416799,0.227591,5566464
1,18,docker,2,203.416799,0.239992,5566464
1,19,docker,2,203.416799,0.208786,5566464
1,20,docker,2,203.416799,0.194381,5566464
1,21,docker,2,203.416799,0.180351,5566464
1,22,docker,2,203.416799,0.178385,5566464
1,23,docker,2,203.416799,0.19136,5566464
1,24,docker,2,203.416799,0.188149,5566464
1,25,docker,2,203.416799,0.21211,5566464
1,26,docker,2,203.416799,0.176946,5566464
1,27,docker,2,203.416799,0.234082,5566464
1,28,docker,2,203.416799,0.213579,5566464
1,29,docker,2,203.416799,0.193006,5566464
