rep,runtime,workload,model,cold_start_ms,exec_ms,memory_peak_bytes
0,docker,model1,1,332.334367,1.404321,15601664
1,docker,model1,1,198.687145,0.483453,5468160
2,docker,model1,1,202.903078,0.31055,5722112
3,docker,model1,1,187.683745,0.398261,5550080
4,docker,model1,1,197.08808,0.520812,5296128
5,docker,model1,1,195.786924,0.29046,5365760
6,docker,model1,1,217.072377,0.370621,5812224
7,docker,model1,1,197.057604,0.604631,5447680
8,docker,model1,1,198.740822,0.513004,5574656
9,docker,model1,1,196.207494,0.475595,5648384
10,docker,model1,1,179.174342,0.386821,5849088
11,docker,model1,1,200.408702,0.394984,5844992
12,docker,model1,1,210.342684,0.44333,5648384
13,docker,model1,1,189.034422,0.322566,5476352
14,docker,model1,1,216.77166,0.330552,5287936
15,docker,model1,1,213.804779,0.31414,5619712
16,docker,model1,1,186.615535,0.343212,5824512
17,docker,model1,1,182.371041,0.357709,5787648
18,docker,model1,1,215.084617,0.318179,5480448
19,docker,model1,1,259.248574,0.361313,5656576
20,docker,model1,1,203.191024,0.368475,5373952
21,docker,model1,1,204.68427,0.40631,5656576
22,docker,model1,1,198.499831,0.501861,5414912
23,docker,model1,1,199.931202,0.380168,5664768
24,docker,model1,1,198.403579,0.482315,5038080
25,docker,model1,1,205.676497,0.440213,5607424
26,docker,model1,1,197.462645,0.334556,5636096
27,docker,model1,1,211.141345,0.323058,5496832
28,docker,model1,1,219.833037,0.287115,5619712
29,docker,model1,1,208.904627,0.331013,5386240
