rep,runtime,workload,model,cold_start_ms,exec_ms,memory_peak_bytes
0,docker,model1_rs,1,192.539104,0.596753,5087232
1,docker,model1_rs,1,177.419474,0.298127,5566464
2,docker,model1_rs,1,169.045205,0.335545,5373952
3,docker,model1_rs,1,179.872425,0.265747,5455872
4,docker,model1_rs,1,187.599915,0.233026,5443584
5,docker,model1_rs,1,176.414441,0.356386,5705728
6,docker,model1_rs,1,198.63226,0.371834,5021696
7,docker,model1_rs,1,197.541655,0.282038,5623808
8,docker,model1_rs,1,176.852104,0.322979,5808128
9,docker,model1_rs,1,205.924345,0.241793,5373952
10,docker,model1_rs,1,190.852593,0.26616,5652480
11,docker,model1_rs,1,164.944198,0.30408,5414912
12,docker,model1_rs,1,179.716465,0.284246,5406720
13,docker,model1_rs,1,171.750237,0.46878,5373952
14,docker,model1_rs,1,192.593771,0.383481,5459968
15,docker,model1_rs,1,177.781892,0.323031,5435392
16,docker,model1_rs,1,181.826914,0.242117,5799936
17,docker,model1_rs,1,203.274347,0.261272,5709824
18,docker,model1_rs,1,184.095886,0.287682,5353472
19,docker,model1_rs,1,184.61068,0.335271,5726208
20,docker,model1_rs,1,184.448547,0.614104,5361664
21,docker,model1_rs,1,176.112967,0.314668,5369856
22,docker,model1_rs,1,186.596592,0.262798,6029312
23,docker,model1_rs,1,193.468902,0.264906,5619712
24,docker,model1_rs,1,164.415191,0.377969,5984256
25,docker,model1_rs,1,176.5351,0.261015,5369856
26,docker,model1_rs,1,181.6313,0.271703,5636096
27,docker,model1_rs,1,170.727629,0.290935,5668864
28,docker,model1_rs,1,210.943462,0.263173,5902336
29,docker,model1_rs,1,198.646197,0.325683,5378048
