session,invocation,runtime,workload,model,cold_start_ms,warm_exec_ms,memory_peak_bytes
0,0,docker,model2,2,163.572898,0.315689,5668864
0,1,docker,model2,2,163.572898,0.235474,5668864
0,2,docker,model2,2,163.572898,0.223828,5668864
0,3,docker,model2,2,163.572898,0.21738,5668864
0,4,docker,model2,2,163.572898,0.211179,5668864
0,5,docker,model2,2,163.572898,0.203276,5668864
0,6,docker,model2,2,163.572898,0.194137,5668864
0,7,docker,model2,2,163.572898,0.287117,5668864
0,8,docker,model2,2,163.572898,0.300857,5668864
0,9,docker,model2,2,163.572898,0.24045,5668864
0,10,docker,model2,2,163.572898,0.226565,5668864
0,11,docker,model2,2,163.572898,0.20119,5668864
0,12,docker,model2,2,163.572898,0.212518,5668864
0,13,docker,model2,2,163.572898,0.25004,5668864
0,14,docker,model2,2,163.572898,0.222985,5668864
0,15,docker,model2,2,163.572898,0.365664,5668864
0,16,docker,model2,2,163.572898,0.313609,5668864
0,17,docker,model2,2,163.572898,0.205529,5668864
0,18,docker,model2,2,163.572898,0.204579,5668864
0,19,docker,model2,2,163.572898,0.207001,5668864
0,20,docker,model2,2,163.572898,0.233312,5668864
0,21,docker,model2,2,163.572898,0.199632,5668864
0,22,docker,model2,2,163.572898,0.201187,5668864
0,23,docker,model2,2,163.572898,0.198541,5668864
0,24,docker,model2,2,163.572898,0.242248,5668864
0,25,docker,model2,2,163.572898,0.227477,5668864
0,26,docker,model2,2,163.572898,0.209672,5668864
0,27,docker,model2,2,163.572898,0.213381,5668864
0,28,docker,model2,2,163.572898,0.20361,5668864
0,29,docker,model2,2,163.572898,0.211543,5668864
1,0,docker,model2,2,191.096835,0.405562,5251072
1,1,docker,model2,2,191.096835,0.22232,5251072
1,2,docker,model2,2,191.096835,0.225481,5251072
1,3,docker,model2,2,191.096835,0.199162,5251072
1,4,docker,model2,2,191.096835,0.213439,5251072
1,5,docker,model2,2,191.096835,0.343854,5251072
1,6,docker,model2,2,191.096835,0.324537,5251072
1,7,docker,model2,2,191.096835,0.224373,5251072
1,8,docker,model2,2,191.096835,0.209715,5251072
1,9,docker,model2,2,191.096835,0.25408,5251072
1,10,docker,model2,2,191.096835,0.211842,5251072
1,11,docker,model2,2,191.096835,0.226921,5251072
1,12,docker,model2,2,191.096835,0.185628,5251072
1,13,docker,model2,2,191.096835,0.227979,5251072
1,14,docker,model2,2,191.096835,0.182516,5251072
1,15,docker,model2,2,191.096835,0.207433,5251072
1,16,docker,model2,2,191.096835,0.179657,5251072
1,17,docker,model2,2,191.096835,0.181891,5251072
1,18,docker,model2,2,191.096835,0.177549,5251072
1,19,docker,model2,2,191.096835,0.204367,5251072
1,20,docker,model2,2,191.096835,0.200916,5251072
1,21,docker,model2,2,191.096835,0.202904,5251072
1,22,docker,model2,2,191.096835,0.226533,5251072
1,23,docker,model2,2,191.096835,0.220428,5251072
1,24,docker,model2,2,191.096835,0.201417,5251072
1,25,docker,model2,2,191.096835,0.186447,5251072
1,26,docker,model2,2,191.096835,0.213555,5251072
1,27,docker,model2,2,191.096835,0.249831,5251072
1,28,docker,model2,2,191.096835,0.220606,5251072
1,29,docker,model2,2,191.096835,0.246964,5251072
2,0,docker,model2,2,208.880271,0.352554,5656576
2,1,docker,model2,2,208.880271,0.27975,5656576
2,2,docker,model2,2,208.880271,0.266018,5656576
2,3,docker,model2,2,208.880271,0.238372,5656576
2,4,docker,model2,2,208.880271,0.223662,5656576
2,5,docker,model2,2,208.880271,0.190621,5656576
2,6,docker,model2,2,208.880271,0.231953,5656576
2,7,docker,model2,2,208.880271,0.205146,5656576
2,8,docker,model2,2,208.880271,0.195805,5656576
2,9,docker,model2,2,208.880271,0.205474,5656576
2,10,docker,model2,2,208.880271,0.208951,5656576
2,11,docker,model2,2,208.880271,0.346842,5656576
2,12,docker,model2,2,208.880271,0.194798,5656576
2,13,docker,model2,2,208.880271,0.250884,5656576
2,14,docker,model2,2,208.880271,0.170048,5656576
2,15,docker,model2,2,208.880271,0.203021,5656576
2,16,docker,model2,2,208.880271,0.215245,5656576
2,17,docker,model2,2,208.880271,0.354453,5656576
2,18,docker,model2,2,208.880271,0.256723,5656576
2,19,docker,model2,2,208.880271,0.26752,5656576
2,20,docker,model2,2,208.880271,0.290064,5656576
2,21,docker,model2,2,208.880271,0.265178,5656576
2,22,docker,model2,2,208.880271,0.202669,5656576
2,23,docker,model2,2,208.880271,0.210209,5656576
2,24,docker,model2,2,208.880271,0.191141,5656576
2,25,docker,model2,2,208.880271,0.201426,5656576
2,26,docker,model2,2,208.880271,0.204689,5656576
2,27,docker,model2,2,208.880271,0.186198,5656576
2,28,docker,model2,2,208.880271,0.195922,5656576
2,29,docker,model2,2,208.880271,0.221338,5656576
3,0,docker,model2,2,204.844773,0.428453,5771264
3,1,docker,model2,2,204.844773,0.26846,5771264
3,2,docker,model2,2,204.844773,0.218745,5771264
3,3,docker,model2,2,204.844773,0.285668,5771264
3,4,docker,model2,2,204.844773,0.245578,5771264
3,5,docker,model2,2,204.844773,0.209553,5771264
3,6,docker,model2,2,204.844773,0.239303,5771264
3,7,docker,model2,2,204.844773,0.180396,5771264
3,8,docker,model2,2,204.844773,0.192268,5771264
3,9,docker,model2,2,204.844773,0.238306,5771264
3,10,docker,model2,2,204.844773,0.221222,5771264
3,11,docker,model2,2,204.844773,0.20628,5771264
3,12,docker,model2,2,204.844773,0.203045,5771264
3,13,docker,model2,2,204.844773,0.211512,5771264
3,14,docker,model2,2,204.844773,0.192651,5771264
3,15,docker,model2,2,204.844773,0.209333,5771264
3,16,docker,model2,2,204.844773,0.182758,5771264
3,17,docker,model2,2,204.844773,0.188471,5771264
3,18,docker,model2,2,204.844773,0.198487,5771264
3,19,docker,model2,2,204.844773,0.184205,5771264
3,20,docker,model2,2,204.844773,0.199832,5771264
3,21,docker,model2,2,204.844773,0.183841,5771264
3,22,docker,model2,2,204.844773,0.2534,5771264
3,23,docker,model2,2,204.844773,0.238906,5771264
3,24,docker,model2,2,204.844773,0.233292,5771264
3,25,docker,model2,2,204.844773,0.192531,5771264
3,26,docker,model2,2,204.844773,0.24447,5771264
3,27,docker,model2,2,204.844773,0.23081,5771264
3,28,docker,model2,2,204.844773,0.182898,5771264
3,29,docker,model2,2,204.844773,0.195017,5771264
4,0,docker,model2,2,198.070889,0.40175,5734400
4,1,docker,model2,2,198.070889,0.259499,5734400
4,2,docker,model2,2,198.070889,0.250204,5734400
4,3,docker,model2,2,198.070889,0.236412,5734400
4,4,docker,model2,2,198.070889,0.279041,5734400
4,5,docker,model2,2,198.070889,0.247794,5734400
4,6,docker,model2,2,198.070889,0.260059,5734400
4,7,docker,model2,2,198.070889,0.241034,5734400
4,8,docker,model2,2,198.070889,0.202757,5734400
4,9,docker,model2,2,198.070889,0.257042,5734400
4,10,docker,model2,2,198.070889,0.218561,5734400
4,11,docker,model2,2,198.070889,0.199803,5734400
4,12,docker,model2,2,198.070889,0.198091,5734400
4,13,docker,model2,2,198.070889,0.202916,5734400
4,14,docker,model2,2,198.070889,0.203408,5734400
4,15,docker,model2,2,198.070889,0.193321,5734400
4,16,docker,model2,2,198.070889,0.232365,5734400
4,17,docker,model2,2,198.070889,0.191245,5734400
4,18,docker,model2,2,198.070889,0.177744,5734400
4,19,docker,model2,2,198.070889,0.187117,5734400
4,20,docker,model2,2,198.070889,0.188249,5734400
4,21,docker,model2,2,198.070889,0.191529,5734400
4,22,docker,model2,2,198.070889,0.278237,5734400
4,23,docker,model2,2,198.070889,0.198227,5734400
4,24,docker,model2,2,198.070889,0.177025,5734400
4,25,docker,model2,2,198.070889,0.180764,5734400
4,26,docker,model2,2,198.070889,0.183716,5734400
4,27,docker,model2,2,198.070889,0.18663,5734400
4,28,docker,model2,2,198.070889,0.191142,5734400
4,29,docker,model2,2,198.070889,0.238864,5734400
