rep,runtime,model,cold_start_ms,exec_ms,memory_peak_bytes
0,docker,1,303.163674,2.402072,13975552
1,docker,1,219.571753,0.344639,5505024
2,docker,1,237.685528,0.347336,5517312
3,docker,1,242.340112,0.462427,5939200
4,docker,1,202.943037,0.822479,5373952
5,docker,1,190.77041,0.328049,5648384
6,docker,1,185.723164,0.427212,5595136
7,docker,1,218.537742,0.407944,6025216
8,docker,1,206.321411,0.700146,5804032
9,docker,1,204.500021,0.612626,5009408
10,docker,1,203.892848,0.259123,5869568
11,docker,1,204.901165,0.33212,5447680
12,docker,1,196.580618,0.426149,5791744
13,docker,1,217.493555,0.348133,5009408
14,docker,1,213.070402,0.332205,5898240
15,docker,1,174.084361,0.354053,5718016
16,docker,1,231.832492,0.486027,5820416
17,docker,1,235.777637,0.536725,6082560
18,docker,1,208.105517,0.401721,5373952
19,docker,1,174.623874,0.474718,5525504
20,docker,1,186.65778,0.473804,5509120
21,docker,1,207.415744,0.400584,5566464
22,docker,1,208.594639,0.352965,5664768
23,docker,1,229.634367,0.525553,5373952
24,docker,1,192.063466,0.468651,5169152
25,docker,1,182.798292,0.31155,5500928
26,docker,1,189.700763,0.340117,5738496
27,docker,1,222.649049,0.527335,5521408
28,docker,1,212.205536,0.340814,5763072
29,docker,1,248.080106,0.479396,5619712
