rep,runtime,workload,model,cold_start_ms,exec_ms,memory_peak_bytes
0,docker,model1_rs,1,253.130046,0.368617,5771264
1,docker,model1_rs,1,203.395172,0.376938,5574656
2,docker,model1_rs,1,206.465069,0.387599,6356992
3,docker,model1_rs,1,288.269434,0.335719,5607424
4,docker,model1_rs,1,209.837697,0.43344,5107712
5,docker,model1_rs,1,191.064736,0.310544,5410816
6,docker,model1_rs,1,183.318796,0.455031,5464064
7,docker,model1_rs,1,172.924421,0.236195,5500928
8,docker,model1_rs,1,174.696666,0.581354,5414912
9,docker,model1_rs,1,185.177099,0.225744,5419008
10,docker,model1_rs,1,183.342804,0.440191,5640192
11,docker,model1_rs,1,181.419432,0.521372,5390336
12,docker,model1_rs,1,190.491721,0.279135,5074944
13,docker,model1_rs,1,219.69598,0.242191,5378048
14,docker,model1_rs,1,194.656255,0.271747,5816320
15,docker,model1_rs,1,173.216503,0.286711,5373952
16,docker,model1_rs,1,164.975208,0.224332,5804032
17,docker,model1_rs,1,215.072103,0.321649,5894144
18,docker,model1_rs,1,185.035516,0.315078,5361664
19,docker,model1_rs,1,187.122782,0.33637,5001216
20,docker,model1_rs,1,175.601516,0.581164,5378048
21,docker,model1_rs,1,207.532013,0.343271,5447680
22,docker,model1_rs,1,193.704985,0.385522,5537792
23,docker,model1_rs,1,181.409831,0.285451,5734400
24,docker,model1_rs,1,207.322691,0.673151,5472256
25,docker,model1_rs,1,192.068492,0.398669,5500928
26,docker,model1_rs,1,197.958996,0.388987,5394432
27,docker,model1_rs,1,190.998118,0.343082,5926912
28,docker,model1_rs,1,214.634695,0.30379,5644288
29,docker,model1_rs,1,213.433247,0.33708,5427200
