session,invocation,runtime,model,cold_start_ms,warm_exec_ms,memory_peak_bytes
0,0,docker,2,218.920649,0.387532,5746688
0,1,docker,2,218.920649,0.260425,5746688
0,2,docker,2,218.920649,0.196843,5746688
0,3,docker,2,218.920649,0.252199,5746688
0,4,docker,2,218.920649,0.230637,5746688
0,5,docker,2,218.920649,0.2509,5746688
0,6,docker,2,218.920649,0.221644,5746688
0,7,docker,2,218.920649,0.210682,5746688
0,8,docker,2,218.920649,0.201513,5746688
0,9,docker,2,218.920649,0.219533,5746688
0,10,docker,2,218.920649,0.192893,5746688
0,11,docker,2,218.920649,0.193913,5746688
0,12,docker,2,218.920649,0.219309,5746688
0,13,docker,2,218.920649,0.250036,5746688
0,14,docker,2,218.920649,0.192963,5746688
0,15,docker,2,218.920649,0.219865,5746688
0,16,docker,2,218.920649,0.253778,5746688
0,17,docker,2,218.920649,0.206971,5746688
0,18,docker,2,218.920649,0.220312,5746688
0,19,docker,2,218.920649,0.179396,5746688
0,20,docker,2,218.920649,0.194394,5746688
0,21,docker,2,218.920649,0.170545,5746688
0,22,docker,2,218.920649,0.186395,5746688
0,23,docker,2,218.920649,0.258978,5746688
0,24,docker,2,218.920649,0.19414,5746688
0,25,docker,2,218.920649,0.1867,5746688
0,26,docker,2,218.920649,0.202852,5746688
0,27,docker,2,218.920649,0.183717,5746688
0,28,docker,2,218.920649,0.184611,5746688
0,29,docker,2,218.920649,0.196511,5746688
1,0,docker,2,179.153903,0.388748,5644288
1,1,docker,2,179.153903,0.37397,5644288
1,2,docker,2,179.153903,0.294228,5644288
1,3,docker,2,179.153903,0.215517,5644288
1,4,docker,2,179.153903,0.233215,5644288
1,5,docker,2,179.153903,0.200211,5644288
1,6,docker,2,179.153903,0.210796,5644288
1,7,docker,2,179.153903,0.245816,5644288
1,8,docker,2,179.153903,0.286749,5644288
1,9,docker,2,179.153903,0.223888,5644288
1,10,docker,2,179.153903,0.224645,5644288
1,11,docker,2,179.153903,0.196001,5644288
1,12,docker,2,179.153903,0.213787,5644288
1,13,docker,2,179.153903,0.220698,5644288
1,14,docker,2,179.153903,0.228509,5644288
1,15,docker,2,179.153903,0.200428,5644288
1,16,docker,2,179.153903,0.202953,5644288
1,17,docker,2,179.153903,0.19016,5644288
1,18,docker,2,179.153903,0.197566,5644288
1,19,docker,2,179.153903,0.219871,5644288
1,20,docker,2,179.153903,0.188781,5644288
1,21,docker,2,179.153903,0.17466,5644288
1,22,docker,2,179.153903,0.170455,5644288
1,23,docker,2,179.153903,0.174216,5644288
1,24,docker,2,179.153903,0.191738,5644288
1,25,docker,2,179.153903,0.18526,5644288
1,26,docker,2,179.153903,0.215958,5644288
1,27,docker,2,179.153903,0.200491,5644288
1,28,docker,2,179.153903,0.17538,5644288
1,29,docker,2,179.153903,0.191099,5644288
2,0,docker,2,187.312775,0.574415,5369856
2,1,docker,2,187.312775,0.443174,5369856
2,2,docker,2,187.312775,0.365766,5369856
2,3,docker,2,187.312775,0.182024,5369856
2,4,docker,2,187.312775,0.266363,5369856
2,5,docker,2,187.312775,0.185308,5369856
2,6,docker,2,187.312775,0.195137,5369856
2,7,docker,2,187.312775,0.191507,5369856
2,8,docker,2,187.312775,0.20388,5369856
2,9,docker,2,187.312775,0.218333,5369856
2,10,docker,2,187.312775,0.210683,5369856
2,11,docker,2,187.312775,0.173253,5369856
2,12,docker,2,187.312775,0.198457,5369856
2,13,docker,2,187.312775,0.197244,5369856
2,14,docker,2,187.312775,0.208285,5369856
2,15,docker,2,187.312775,0.337411,5369856
2,16,docker,2,187.312775,0.168746,5369856
2,17,docker,2,187.312775,0.157278,5369856
2,18,docker,2,187.312775,0.181857,5369856
2,19,docker,2,187.312775,0.202021,5369856
2,20,docker,2,187.312775,0.169855,5369856
2,21,docker,2,187.312775,0.178457,5369856
2,22,docker,2,187.312775,0.180933,5369856
2,23,docker,2,187.312775,0.169495,5369856
2,24,docker,2,187.312775,0.222817,5369856
2,25,docker,2,187.312775,0.21776,5369856
2,26,docker,2,187.312775,0.185478,5369856
2,27,docker,2,187.312775,0.217073,5369856
2,28,docker,2,187.312775,0.170277,5369856
2,29,docker,2,187.312775,0.226621,5369856
