rep,runtime,model,cold_start_ms,exec_ms,memory_peak_bytes
0,docker,1,281.735201,0.773576,14172160
1,docker,1,216.163579,0.454247,5652480
2,docker,1,190.600795,0.469176,5910528
3,docker,1,191.588944,0.770333,5808128
4,docker,1,180.824388,0.492597,5718016
5,docker,1,183.916557,0.696877,5726208
6,docker,1,207.072562,0.439668,5636096
7,docker,1,205.022354,0.405438,5394432
8,docker,1,227.409632,0.509747,5808128
9,docker,1,219.755173,0.533817,5742592
10,docker,1,190.726039,0.351619,5390336
11,docker,1,199.684219,0.309801,5357568
12,docker,1,197.004942,0.305193,5500928
13,docker,1,215.176682,0.295528,5611520
14,docker,1,184.658442,0.387406,5562368
15,docker,1,202.880276,0.519603,5435392
16,docker,1,212.578622,0.280939,5636096
17,docker,1,204.51414,0.333995,5586944
18,docker,1,188.543298,0.696821,5550080
19,docker,1,184.854005,0.390712,5390336
20,docker,1,222.103293,0.864376,5521408
21,docker,1,198.142585,0.427535,5468160
22,docker,1,185.927215,0.622088,5369856
23,docker,1,170.852957,0.460315,5537792
24,docker,1,182.333793,0.44392,5910528
25,docker,1,161.036279,0.312859,6119424
26,docker,1,172.436965,0.453407,5787648
27,docker,1,190.834984,0.332147,5939200
28,docker,1,208.349467,0.581544,5525504
29,docker,1,201.773201,0.314108,5603328
