rep,runtime,workload,model,cold_start_ms,exec_ms,memory_peak_bytes
0,firecracker,model1_rs,1,200.478463,0.497083,47579136
1,firecracker,model1_rs,1,112.723662,0.634292,47710208
2,firecracker,model1_rs,1,130.45229,1.1883,48103424
3,firecracker,model1_rs,1,117.236403,0.604187,48234496
4,firecracker,model1_rs,1,117.774942,0.460397,47579136
5,firecracker,model1_rs,1,120.601742,0.513792,48234496
6,firecracker,model1_rs,1,117.736342,1.194302,48234496
7,firecracker,model1_rs,1,105.19283,0.448417,48234496
8,firecracker,model1_rs,1,120.973363,1.457197,48103424
9,firecracker,model1_rs,1,121.229727,0.625714,48234496
10,firecracker,model1_rs,1,115.187225,0.603438,48365568
11,firecracker,model1_rs,1,128.499579,0.419476,48496640
12,firecracker,model1_rs,1,123.091859,0.611492,48496640
13,firecracker,model1_rs,1,118.651381,0.508618,48103424
14,firecracker,model1_rs,1,109.210897,1.471149,48365568
15,firecracker,model1_rs,1,111.833518,1.221382,48496640
16,firecracker,model1_rs,1,174.182966,1.281311,46923776
17,firecracker,model1_rs,1,163.52169,1.198253,47579136
18,firecracker,model1_rs,1,124.285706,1.022,47841280
19,firecracker,model1_rs,1,122.945595,0.481649,47710208
20,firecracker,model1_rs,1,116.383366,0.501312,48365568
21,firecracker,model1_rs,1,119.946891,0.50968,48103424
22,firecracker,model1_rs,1,105.18856,0.605794,48496640
23,firecracker,model1_rs,1,105.37558,0.429601,48365568
24,firecracker,model1_rs,1,114.560363,0.585287,48234496
25,firecracker,model1_rs,1,123.088445,0.613605,48496640
26,firecracker,model1_rs,1,120.370369,0.946277,48496640
27,firecracker,model1_rs,1,116.41089,0.462805,47579136
28,firecracker,model1_rs,1,123.127378,0.515919,48365568
29,firecracker,model1_rs,1,110.30349,0.484212,48103424
