rep,runtime,workload,model,cold_start_ms,exec_ms,memory_peak_bytes
0,firecracker,model1_rs,1,154.656055,1.254581,47579136
1,firecracker,model1_rs,1,111.233153,0.496933,48103424
2,firecracker,model1_rs,1,109.348579,1.025081,48234496
3,firecracker,model1_rs,1,108.425013,0.529411,47972352
4,firecracker,model1_rs,1,115.291892,0.486004,47972352
5,firecracker,model1_rs,1,118.105401,0.462716,48365568
6,firecracker,model1_rs,1,128.816723,0.486805,48365568
7,firecracker,model1_rs,1,112.768712,1.206837,48234496
8,firecracker,model1_rs,1,111.66183,0.532766,48234496
9,firecracker,model1_rs,1,113.713561,0.430347,48365568
10,firecracker,model1_rs,1,102.89254,1.360009,48234496
11,firecracker,model1_rs,1,116.269913,0.579689,48234496
12,firecracker,model1_rs,1,114.035987,0.43594,48234496
13,firecracker,model1_rs,1,107.000937,1.062089,48234496
14,firecracker,model1_rs,1,121.016894,0.642734,48234496
15,firecracker,model1_rs,1,118.278649,0.649458,47710208
16,firecracker,model1_rs,1,119.975192,0.695907,47710208
17,firecracker,model1_rs,1,111.155649,0.483159,47710208
18,firecracker,model1_rs,1,127.174509,0.461622,48758784
19,firecracker,model1_rs,1,104.959513,0.469683,48234496
20,firecracker,model1_rs,1,115.179904,0.49986,47710208
21,firecracker,model1_rs,1,116.581262,0.554211,48234496
22,firecracker,model1_rs,1,193.823128,2.879006,46792704
23,firecracker,model1_rs,1,122.327449,0.559743,47710208
24,firecracker,model1_rs,1,117.124712,0.573149,48234496
25,firecracker,model1_rs,1,110.354419,0.575524,48365568
26,firecracker,model1_rs,1,119.366512,0.455179,47710208
27,firecracker,model1_rs,1,128.874724,0.478847,48234496
28,firecracker,model1_rs,1,124.997614,0.54805,48234496
29,firecracker,model1_rs,1,112.975518,0.56123,47710208
