session,invocation,runtime,workload,model,cold_start_ms,warm_exec_ms,memory_peak_bytes
0,0,firecracker,model2_rs,2,138.866976,0.519935,47579136
0,1,firecracker,model2_rs,2,138.866976,0.427773,47579136
0,2,firecracker,model2_rs,2,138.866976,0.381618,47579136
0,3,firecracker,model2_rs,2,138.866976,0.395829,47579136
0,4,firecracker,model2_rs,2,138.866976,0.439103,47579136
0,5,firecracker,model2_rs,2,138.866976,0.402192,47579136
0,6,firecracker,model2_rs,2,138.866976,0.496806,47579136
0,7,firecracker,model2_rs,2,138.866976,0.426807,47579136
0,8,firecracker,model2_rs,2,138.866976,0.482193,47579136
0,9,firecracker,model2_rs,2,138.866976,0.375698,47579136
0,10,firecracker,model2_rs,2,138.866976,0.378355,47579136
0,11,firecracker,model2_rs,2,138.866976,0.405518,47579136
0,12,firecracker,model2_rs,2,138.866976,0.402356,47579136
0,13,firecracker,model2_rs,2,138.866976,0.381996,47579136
0,14,firecracker,model2_rs,2,138.866976,0.41465,47579136
0,15,firecracker,model2_rs,2,138.866976,0.466068,47579136
0,16,firecracker,model2_rs,2,138.866976,0.574569,47579136
0,17,firecracker,model2_rs,2,138.866976,0.492914,47579136
0,18,firecracker,model2_rs,2,138.866976,0.423811,47579136
0,19,firecracker,model2_rs,2,138.866976,0.400538,47579136
0,20,firecracker,model2_rs,2,138.866976,0.395733,47579136
0,21,firecracker,model2_rs,2,138.866976,0.410016,47579136
0,22,firecracker,model2_rs,2,138.866976,0.396338,47579136
0,23,firecracker,model2_rs,2,138.866976,0.414271,47579136
0,24,firecracker,model2_rs,2,138.866976,0.384101,47579136
0,25,firecracker,model2_rs,2,138.866976,0.57105,47579136
0,26,firecracker,model2_rs,2,138.866976,0.519325,47579136
0,27,firecracker,model2_rs,2,138.866976,0.475471,47579136
0,28,firecracker,model2_rs,2,138.866976,0.494724,47579136
0,29,firecracker,model2_rs,2,138.866976,0.41569,47579136
1,0,firecracker,model2_rs,2,117.024955,0.455776,48365568
1,1,firecracker,model2_rs,2,117.024955,0.377085,48365568
1,2,firecracker,model2_rs,2,117.024955,0.403852,48365568
1,3,firecracker,model2_rs,2,117.024955,0.365851,48365568
1,4,firecracker,model2_rs,2,117.024955,0.400015,48365568
1,5,firecracker,model2_rs,2,117.024955,0.392432,48365568
1,6,firecracker,model2_rs,2,117.024955,0.471766,48365568
1,7,firecracker,model2_rs,2,117.024955,0.518124,48365568
1,8,firecracker,model2_rs,2,117.024955,0.374078,48365568
1,9,firecracker,model2_rs,2,117.024955,0.370582,48365568
1,10,firecracker,model2_rs,2,117.024955,0.348016,48365568
1,11,firecracker,model2_rs,2,117.024955,0.34363,48365568
1,12,firecracker,model2_rs,2,117.024955,0.371789,48365568
1,13,firecracker,model2_rs,2,117.024955,0.352879,48365568
1,14,firecracker,model2_rs,2,117.024955,0.537918,48365568
1,15,firecracker,model2_rs,2,117.024955,0.491684,48365568
1,16,firecracker,model2_rs,2,117.024955,0.389431,48365568
1,17,firecracker,model2_rs,2,117.024955,0.408462,48365568
1,18,firecracker,model2_rs,2,117.024955,0.366436,48365568
1,19,firecracker,model2_rs,2,117.024955,0.421409,48365568
1,20,firecracker,model2_rs,2,117.024955,0.421291,48365568
1,21,firecracker,model2_rs,2,117.024955,0.383287,48365568
1,22,firecracker,model2_rs,2,117.024955,0.371775,48365568
1,23,firecracker,model2_rs,2,117.024955,0.34258,48365568
1,24,firecracker,model2_rs,2,117.024955,0.379623,48365568
1,25,firecracker,model2_rs,2,117.024955,0.353732,48365568
1,26,firecracker,model2_rs,2,117.024955,0.350349,48365568
1,27,firecracker,model2_rs,2,117.024955,0.370696,48365568
1,28,firecracker,model2_rs,2,117.024955,0.344131,48365568
1,29,firecracker,model2_rs,2,117.024955,0.355078,48365568
2,0,firecracker,model2_rs,2,120.152771,0.662891,48234496
2,1,firecracker,model2_rs,2,120.152771,1.172394,48234496
