session,invocation,runtime,model,cold_start_ms,warm_exec_ms,memory_peak_bytes
0,0,wasmtime,2,3.772304,0.143544,16646144
0,1,wasmtime,2,3.772304,0.085906,16646144
0,2,wasmtime,2,3.772304,0.050345,16646144
0,3,wasmtime,2,3.772304,0.052638,16646144
0,4,wasmtime,2,3.772304,0.045329,16646144
0,5,wasmtime,2,3.772304,0.043287,16646144
0,6,wasmtime,2,3.772304,0.087715,16646144
0,7,wasmtime,2,3.772304,0.075899,16646144
0,8,wasmtime,2,3.772304,0.052775,16646144
0,9,wasmtime,2,3.772304,0.056443,16646144
0,10,wasmtime,2,3.772304,0.058551,16646144
0,11,wasmtime,2,3.772304,0.036124,16646144
0,12,wasmtime,2,3.772304,0.04905,16646144
0,13,wasmtime,2,3.772304,0.044703,16646144
0,14,wasmtime,2,3.772304,0.049058,16646144
0,15,wasmtime,2,3.772304,0.035796,16646144
0,16,wasmtime,2,3.772304,0.033708,16646144
0,17,wasmtime,2,3.772304,0.066861,16646144
0,18,wasmtime,2,3.772304,0.059814,16646144
0,19,wasmtime,2,3.772304,0.055034,16646144
0,20,wasmtime,2,3.772304,0.035772,16646144
0,21,wasmtime,2,3.772304,0.047719,16646144
0,22,wasmtime,2,3.772304,0.046328,16646144
0,23,wasmtime,2,3.772304,0.048609,16646144
0,24,wasmtime,2,3.772304,0.044198,16646144
0,25,wasmtime,2,3.772304,0.04329,16646144
0,26,wasmtime,2,3.772304,0.027772,16646144
0,27,wasmtime,2,3.772304,0.026624,16646144
0,28,wasmtime,2,3.772304,0.052294,16646144
0,29,wasmtime,2,3.772304,0.057151,16646144
1,0,wasmtime,2,3.208463,0.123834,16777216
1,1,wasmtime,2,3.208463,0.058485,16777216
1,2,wasmtime,2,3.208463,0.103402,16777216
1,3,wasmtime,2,3.208463,0.061171,16777216
1,4,wasmtime,2,3.208463,0.055876,16777216
1,5,wasmtime,2,3.208463,0.035814,16777216
1,6,wasmtime,2,3.208463,0.162415,16777216
1,7,wasmtime,2,3.208463,0.115435,16777216
1,8,wasmtime,2,3.208463,0.177366,16777216
1,9,wasmtime,2,3.208463,0.065489,16777216
1,10,wasmtime,2,3.208463,0.041115,16777216
1,11,wasmtime,2,3.208463,0.061582,16777216
1,12,wasmtime,2,3.208463,0.041073,16777216
1,13,wasmtime,2,3.208463,0.050084,16777216
1,14,wasmtime,2,3.208463,0.057519,16777216
1,15,wasmtime,2,3.208463,0.057602,16777216
1,16,wasmtime,2,3.208463,0.061585,16777216
1,17,wasmtime,2,3.208463,0.05103,16777216
1,18,wasmtime,2,3.208463,0.048797,16777216
1,19,wasmtime,2,3.208463,0.059708,16777216
1,20,wasmtime,2,3.208463,0.053837,16777216
1,21,wasmtime,2,3.208463,0.06742,16777216
1,22,wasmtime,2,3.208463,0.061372,16777216
1,23,wasmtime,2,3.208463,0.065407,16777216
1,24,wasmtime,2,3.208463,0.054521,16777216
1,25,wasmtime,2,3.208463,0.05503,16777216
1,26,wasmtime,2,3.208463,0.070441,16777216
1,27,wasmtime,2,3.208463,0.136965,16777216
1,28,wasmtime,2,3.208463,0.054945,16777216
1,29,wasmtime,2,3.208463,0.036854,16777216
2,0,wasmtime,2,3.921504,0.075516,16646144
2,1,wasmtime,2,3.921504,0.107444,16646144
2,2,wasmtime,2,3.921504,0.081782,16646144
2,3,wasmtime,2,3.921504,0.070629,16646144
2,4,wasmtime,2,3.921504,0.088632,16646144
2,5,wasmtime,2,3.921504,0.069909,16646144
2,6,wasmtime,2,3.921504,0.058419,16646144
2,7,wasmtime,2,3.921504,0.056213,16646144
2,8,wasmtime,2,3.921504,0.060688,16646144
2,9,wasmtime,2,3.921504,0.068679,16646144
2,10,wasmtime,2,3.921504,0.055123,16646144
2,11,wasmtime,2,3.921504,0.034334,16646144
2,12,wasmtime,2,3.921504,0.035503,16646144
2,13,wasmtime,2,3.921504,0.056085,16646144
2,14,wasmtime,2,3.921504,0.06648,16646144
2,15,wasmtime,2,3.921504,0.067212,16646144
2,16,wasmtime,2,3.921504,0.05298,16646144
2,17,wasmtime,2,3.921504,0.053742,16646144
2,18,wasmtime,2,3.921504,0.074471,16646144
2,19,wasmtime,2,3.921504,0.102777,16646144
2,20,wasmtime,2,3.921504,0.067748,16646144
2,21,wasmtime,2,3.921504,0.087492,16646144
2,22,wasmtime,2,3.921504,0.066738,16646144
2,23,wasmtime,2,3.921504,0.076039,16646144
2,24,wasmtime,2,3.921504,0.047651,16646144
2,25,wasmtime,2,3.921504,0.060193,16646144
2,26,wasmtime,2,3.921504,0.050699,16646144
2,27,wasmtime,2,3.921504,0.062671,16646144
2,28,wasmtime,2,3.921504,0.029705,16646144
2,29,wasmtime,2,3.921504,0.031893,16646144
3,0,wasmtime,2,3.787964,0.053356,16777216
3,1,wasmtime,2,3.787964,0.061738,16777216
3,2,wasmtime,2,3.787964,0.061895,16777216
3,3,wasmtime,2,3.787964,0.095473,16777216
3,4,wasmtime,2,3.787964,0.081486,16777216
3,5,wasmtime,2,3.787964,0.054479,16777216
3,6,wasmtime,2,3.787964,0.038972,16777216
3,7,wasmtime,2,3.787964,0.079409,16777216
3,8,wasmtime,2,3.787964,0.076084,16777216
3,9,wasmtime,2,3.787964,0.04639,16777216
3,10,wasmtime,2,3.787964,0.085788,16777216
3,11,wasmtime,2,3.787964,0.061639,16777216
3,12,wasmtime,2,3.787964,0.090188,16777216
3,13,wasmtime,2,3.787964,0.041773,16777216
3,14,wasmtime,2,3.787964,0.081867,16777216
3,15,wasmtime,2,3.787964,0.099343,16777216
3,16,wasmtime,2,3.787964,0.07264,16777216
3,17,wasmtime,2,3.787964,0.064996,16777216
3,18,wasmtime,2,3.787964,0.084311,16777216
3,19,wasmtime,2,3.787964,0.08296,16777216
3,20,wasmtime,2,3.787964,0.102555,16777216
3,21,wasmtime,2,3.787964,0.085307,16777216
3,22,wasmtime,2,3.787964,0.119155,16777216
3,23,wasmtime,2,3.787964,0.078797,16777216
3,24,wasmtime,2,3.787964,0.060276,16777216
3,25,wasmtime,2,3.787964,0.063134,16777216
3,26,wasmtime,2,3.787964,0.156944,16777216
3,27,wasmtime,2,3.787964,0.122739,16777216
3,28,wasmtime,2,3.787964,0.085754,16777216
