rep,runtime,model,cold_start_ms,exec_ms,memory_peak_bytes
0,wasmtime,1,4.203327,0.304982,16777216
1,wasmtime,1,4.403653,0.164378,16646144
2,wasmtime,1,4.404709,0.166653,16384000
3,wasmtime,1,4.302699,0.142565,16384000
4,wasmtime,1,4.455874,0.168503,16384000
5,wasmtime,1,4.497286,0.156924,16515072
6,wasmtime,1,4.349399,0.221818,16515072
7,wasmtime,1,4.246727,0.107687,16515072
8,wasmtime,1,4.684639,0.11854,16515072
9,wasmtime,1,4.25213,0.231099,16515072
10,wasmtime,1,4.205688,0.106236,16777216
11,wasmtime,1,4.190414,0.081418,16515072
12,wasmtime,1,3.867812,0.118425,16515072
13,wasmtime,1,4.422891,0.10263,16252928
14,wasmtime,1,3.904121,0.106474,16646144
15,wasmtime,1,3.801732,0.105933,16252928
16,wasmtime,1,3.559835,0.085692,16384000
17,wasmtime,1,3.865929,0.099588,16646144
18,wasmtime,1,3.835006,0.117452,16646144
19,wasmtime,1,4.124879,0.067995,16515072
20,wasmtime,1,3.930496,0.094351,16515072
21,wasmtime,1,4.15664,0.096028,16252928
22,wasmtime,1,4.281305,0.103366,16646144
23,wasmtime,1,4.26569,0.116136,16646144
24,wasmtime,1,3.972327,0.105696,16515072
25,wasmtime,1,3.699884,0.055804,16777216
26,wasmtime,1,4.173698,0.071159,16515072
27,wasmtime,1,3.799552,0.098916,16646144
28,wasmtime,1,4.236337,0.102996,16515072
29,wasmtime,1,4.202864,0.104054,16515072
